TinhThanh,TongDiem_DVC,CongKhaiMinhBach,TienDoGiaiQuyet,DichVuTrucTuyen,MucDoHaiLong,SoHoaHoSo,Nam
UBND tỉnh Quảng Ninh,77.12,11.51,17.69,14.13,17.85,15.94,2023
UBND tỉnh Hưng Yên,77.03,10.56,19.74,13.74,17.91,15.08,2023
UBND Thành phố Cần Thơ,76.94,12.7,18.62,15.79,17.74,12.09,2023
UBND tỉnh Hà Tĩnh,75.11,11.51,18.43,13.19,17.09,14.89,2023
UBND Thành phố Hải Phòng,74.21,15.41,19.23,11.96,17.63,9.98,2023
UBND tỉnh Đắk Lắk,74.05,13.95,19.23,6.1,17.82,16.95,2023
UBND tỉnh Khánh Hòa,73.81,12.21,17.4,10.37,17.22,16.61,2023
UBND tỉnh Bắc Ninh,73.31,14.87,17.27,10.24,17.62,13.31,2023
UBND tỉnh Điện Biên,72.47,11.35,19.52,11.24,17.88,12.48,2023
UBND tỉnh Phú Thọ,71.89,13.36,18.73,9.18,17.62,13,2023
UBND tỉnh Thanh Hóa,71.6,14.69,16.71,9.8,16.25,14.15,2023
UBND tỉnh Tây Ninh,71.36,14.01,18.49,8.97,17.61,12.28,2023
UBND Thành phố Đà Nẵng,70.93,12.23,17.62,10.49,17.11,13.48,2023
UBND Thành phố Huế,70.9,16.85,17.69,8.26,17.29,10.81,2023
UBND tỉnh Quảng Ngãi,70.78,11.5,19.11,11.36,17.4,11.41,2023
UBND tỉnh Cao Bằng,70.42,14.13,19.03,7.05,17.82,12.39,2023
UBND tỉnh Lạng Sơn,69.51,9.26,18.99,9.27,17.94,14.05,2023
UBND tỉnh An Giang,68.84,13.17,19.19,8.85,17.62,10.01,2023
UBND Thành phố Hồ Chí Minh,68.69,9.26,19.26,8.73,17.94,13.5,2023
UBND tỉnh Nghệ An,68.49,13.58,18.35,7.72,17.72,11.12,2023
UBND tỉnh Đồng Tháp,65.95,15.48,19.35,5.69,17.94,7.49,2023
UBND tỉnh Đồng Nai,64.89,14.92,18.74,5.27,16.55,9.41,2023
UBND tỉnh Vĩnh Long,62.72,12.01,19.04,5.57,17.76,8.34,2023
UBND Thành phố Hà Nội,60.26,10.53,19.42,5.15,17.65,7.51,2023
UBND tỉnh Sơn La,59.95,12.57,19.26,4.07,18,6.05,2023
UBND tỉnh Quảng Trị,58.52,9.74,12.48,7.28,15.8,13.22,2023
UBND tỉnh Gia Lai,55.54,10.8,17.99,2.79,17.8,6.16,2023
UBND tỉnh Thái Nguyên,89.03,14.49,19.2,17.54,17.72,20.08,2024
UBND tỉnh Cà Mau,88.83,15.67,19.59,18.27,17.76,17.54,2024
UBND tỉnh Thanh Hóa,87.67,12.7,19.19,18.06,17.42,20.3,2024
UBND tỉnh Hưng Yên,86.72,14.21,19.84,17.92,17.99,16.76,2024
UBND tỉnh Quảng Ngãi,85.76,12.42,19.17,17.34,17.27,19.56,2024
UBND tỉnh An Giang,85.23,14.99,19.54,17.13,17.83,15.74,2024
UBND tỉnh Lai Châu,84.93,15,19.56,16.94,18,15.43,2024
UBND tỉnh Lào Cai,84.45,14.91,19.14,16.91,17.82,15.67,2024
UBND Thành phố Cần Thơ,83.09,12.99,19.54,17.42,17.82,15.32,2024
UBND tỉnh Tuyên Quang,83.09,12.55,19.54,18,18,15,2024
UBND tỉnh Lâm Đồng,82.81,13.39,18.82,16.95,17.76,15.89,2024
UBND tỉnh Nghệ An,82.65,12.99,18.98,16.75,17.69,16.24,2024
UBND tỉnh Bắc Ninh,82.24,14.61,18.15,14.67,17.88,16.93,2024
UBND tỉnh Hà Tĩnh,81.26,10.26,18.72,17.17,17.59,17.52,2024
UBND tỉnh Quảng Trị,81.25,14.44,16.74,12.82,17.4,19.85,2024
UBND tỉnh Cao Bằng,81.11,12.02,19.25,16.2,17.76,15.88,2024
UBND Thành phố Hải Phòng,80.94,13.7,18.72,15.24,17.68,15.6,2024
UBND tỉnh Quảng Ninh,79.4,10.57,18.68,17.37,17.83,14.95,2024
UBND tỉnh Vĩnh Long,79.1,13.38,19.84,11.4,17.82,16.66,2024
UBND tỉnh Ninh Bình,78.78,14.65,19.14,11.63,18,15.36,2024
UBND tỉnh Phú Thọ,78.75,12.62,19.66,12.81,17.7,15.96,2024
UBND tỉnh Tây Ninh,78.66,13.63,19.05,12.51,17.79,15.68,2024
UBND tỉnh Lạng Sơn,78.43,11.8,19.19,12.66,17.82,16.96,2024
UBND tỉnh Đắk Lắk,78.3,13.08,19.26,10.98,17.86,17.12,2024
UBND tỉnh Điện Biên,77.35,10.8,19.68,15.26,17.88,13.73,2024
UBND tỉnh Sơn La,76.8,12.39,19.59,12.57,17.71,14.54,2024
UBND Thành phố Huế,76.79,14.93,17.56,12.68,17.36,14.26,2024
UBND tỉnh Khánh Hòa,75.22,12.92,17,12.48,17.52,15.3,2024
UBND tỉnh Gia Lai,73.9,12.9,18.11,11.88,17.7,13.31,2024
UBND tỉnh Đồng Tháp,73.13,11.73,19.27,11.55,18,12.58,2024
UBND tỉnh Đồng Nai,71.26,14.42,18.81,8.88,17.35,11.8,2024
UBND Thành phố Hồ Chí Minh,68.57,11.12,19.5,10.2,17.88,9.87,2024
UBND Thành phố Đà Nẵng,67.78,12.18,18.41,11.43,15.56,10.2,2024
UBND Thành phố Hà Nội,64.1,9.22,18.14,9.01,17.64,10.09,2024
